dataset,study,n_estimators,max_depth,test_accuracy,oob_accuracy
adult,n_estimators,15,12.0,0.8458333333333333,0.8331595411887383
adult,n_estimators,16,12.0,0.8466666666666667,0.8327773144286906
adult,n_estimators,17,12.0,0.8483333333333334,0.8338198498748958
adult,n_estimators,18,12.0,0.8475,0.8334028356964137
adult,n_estimators,19,12.0,0.85,0.8330554397665694
adult,n_estimators,20,12.0,0.8466666666666667,0.8313880783659858
adult,n_estimators,21,12.0,0.8483333333333334,0.8330554397665694
adult,n_estimators,22,12.0,0.8483333333333334,0.8318049187161317
adult,n_estimators,23,12.0,0.85,0.8303813294436341
adult,n_estimators,24,12.0,0.8491666666666666,0.8347916666666667
adult,n_estimators,25,12.0,0.8458333333333333,0.835625
adult,n_estimators,26,12.0,0.8466666666666667,0.834375
adult,n_estimators,27,12.0,0.845,0.8322916666666667
adult,n_estimators,28,12.0,0.845,0.8333333333333334
adult,n_estimators,29,12.0,0.8441666666666666,0.8341666666666666
adult,n_estimators,30,12.0,0.8458333333333333,0.8341666666666666
adult,n_estimators,31,12.0,0.8475,0.83375
adult,n_estimators,32,12.0,0.8441666666666666,0.8347916666666667
adult,n_estimators,33,12.0,0.845,0.8352083333333333
adult,n_estimators,34,12.0,0.845,0.83625
adult,n_estimators,35,12.0,0.8441666666666666,0.83625
adult,n_estimators,36,12.0,0.845,0.8358333333333333
adult,n_estimators,37,12.0,0.8433333333333334,0.8360416666666667
adult,n_estimators,38,12.0,0.8425,0.8347916666666667
adult,n_estimators,39,12.0,0.8433333333333334,0.8333333333333334
adult,n_estimators,40,12.0,0.8433333333333334,0.8339583333333334
adult,n_estimators,41,12.0,0.8433333333333334,0.834375
adult,n_estimators,42,12.0,0.8425,0.8352083333333333
adult,n_estimators,43,12.0,0.8416666666666667,0.835
adult,n_estimators,44,12.0,0.8408333333333333,0.8352083333333333
adult,n_estimators,45,12.0,0.8416666666666667,0.835
adult,n_estimators,46,12.0,0.8416666666666667,0.8360416666666667
adult,n_estimators,47,12.0,0.8425,0.8377083333333334
adult,n_estimators,48,12.0,0.8425,0.83875
adult,n_estimators,49,12.0,0.8408333333333333,0.838125
adult,n_estimators,50,12.0,0.8416666666666667,0.836875
adult,n_estimators,51,12.0,0.8416666666666667,0.8370833333333333
adult,n_estimators,52,12.0,0.8416666666666667,0.836875
adult,n_estimators,53,12.0,0.8416666666666667,0.8377083333333334
adult,n_estimators,54,12.0,0.8441666666666666,0.83875
adult,n_estimators,55,12.0,0.8433333333333334,0.838125
adult,n_estimators,56,12.0,0.845,0.8395833333333333
adult,n_estimators,57,12.0,0.8441666666666666,0.839375
adult,n_estimators,58,12.0,0.8433333333333334,0.840625
adult,n_estimators,59,12.0,0.8425,0.840625
adult,n_estimators,60,12.0,0.845,0.8391666666666666
adult,n_estimators,61,12.0,0.845,0.839375
adult,n_estimators,62,12.0,0.8441666666666666,0.8395833333333333
adult,n_estimators,63,12.0,0.8441666666666666,0.840625
adult,n_estimators,64,12.0,0.8441666666666666,0.84
adult,n_estimators,65,12.0,0.845,0.8402083333333333
adult,n_estimators,66,12.0,0.845,0.8404166666666667
adult,n_estimators,67,12.0,0.8458333333333333,0.84
adult,n_estimators,68,12.0,0.8458333333333333,0.84
adult,n_estimators,69,12.0,0.8466666666666667,0.8404166666666667
adult,n_estimators,70,12.0,0.8466666666666667,0.8395833333333333
adult,n_estimators,71,12.0,0.8475,0.8397916666666667
