dataset,n_estimators,train_error,test_error
breast_cancer,75,0.0,0.043859649122807015
breast_cancer,76,0.0,0.043859649122807015
breast_cancer,77,0.0,0.043859649122807015
breast_cancer,78,0.0,0.043859649122807015
breast_cancer,79,0.0,0.043859649122807015
breast_cancer,80,0.0,0.043859649122807015
breast_cancer,81,0.0,0.043859649122807015
breast_cancer,82,0.0,0.043859649122807015
breast_cancer,83,0.0,0.043859649122807015
breast_cancer,84,0.0,0.043859649122807015
breast_cancer,85,0.0,0.043859649122807015
breast_cancer,86,0.0,0.043859649122807015
breast_cancer,87,0.0,0.043859649122807015
breast_cancer,88,0.0,0.043859649122807015
breast_cancer,89,0.0,0.043859649122807015
breast_cancer,90,0.0,0.043859649122807015
breast_cancer,91,0.0,0.043859649122807015
breast_cancer,92,0.0,0.043859649122807015
breast_cancer,93,0.0,0.043859649122807015
breast_cancer,94,0.0,0.043859649122807015
breast_cancer,95,0.0,0.043859649122807015
breast_cancer,96,0.0,0.043859649122807015
breast_cancer,97,0.0,0.043859649122807015
breast_cancer,98,0.0,0.043859649122807015
breast_cancer,99,0.0,0.043859649122807015
breast_cancer,100,0.0,0.043859649122807015
breast_cancer,101,0.0,0.043859649122807015
breast_cancer,102,0.0,0.043859649122807015
breast_cancer,103,0.0,0.043859649122807015
breast_cancer,104,0.0,0.043859649122807015
breast_cancer,105,0.0,0.043859649122807015
breast_cancer,106,0.0,0.043859649122807015
breast_cancer,107,0.0,0.043859649122807015
breast_cancer,108,0.0,0.043859649122807015
breast_cancer,109,0.0,0.043859649122807015
breast_cancer,110,0.0,0.043859649122807015
breast_cancer,111,0.0,0.043859649122807015
breast_cancer,112,0.0,0.043859649122807015
breast_cancer,113,0.0,0.043859649122807015
breast_cancer,114,0.0,0.043859649122807015
breast_cancer,115,0.0,0.043859649122807015
breast_cancer,116,0.0,0.043859649122807015
breast_cancer,117,0.0,0.043859649122807015
breast_cancer,118,0.0,0.043859649122807015
breast_cancer,119,0.0,0.043859649122807015
breast_cancer,120,0.0,0.043859649122807015
breast_cancer,121,0.0,0.043859649122807015
breast_cancer,122,0.0,0.043859649122807015
breast_cancer,123,0.0,0.043859649122807015
breast_cancer,124,0.0,0.03508771929824561
breast_cancer,125,0.0,0.043859649122807015
breast_cancer,126,0.0,0.03508771929824561
breast_cancer,127,0.0,0.03508771929824561
breast_cancer,128,0.0,0.03508771929824561
breast_cancer,129,0.0,0.03508771929824561
breast_cancer,130,0.0,0.03508771929824561
breast_cancer,131,0.0,0.03508771929824561
breast_cancer,132,0.0,0.03508771929824561
breast_cancer,133,0.0,0.03508771929824561
breast_cancer,134,0.0,0.03508771929824561
breast_cancer,135,0.0,0.03508771929824561
breast_cancer,136,0.0,0.03508771929824561
breast_cancer,137,0.0,0.03508771929824561
breast_cancer,138,0.0,0.03508771929824561
breast_cancer,139,0.0,0.03508771929824561
breast_cancer,140,0.0,0.03508771929824561
breast_cancer,141,0.0,0.03508771929824561
breast_cancer,142,0.0,0.03508771929824561
breast_cancer,143,0.0,0.03508771929824561
breast_cancer,144,0.0,0.03508771929824561
breast_cancer,145,0.0,0.03508771929824561
breast_cancer,146,0.0,0.03508771929824561
breast_cancer,147,0.0,0.03508771929824561
breast_cancer,148,0.0,0.03508771929824561
breast_cancer,149,0.0,0.03508771929824561
breast_cancer,150,0.0,0.03508771929824561
breast_cancer,151,0.0,0.03508771929824561
breast_cancer,152,0.0,0.03508771929824561
breast_cancer,153,0.0,0.03508771929824561
breast_cancer,154,0.0,0.03508771929824561
breast_cancer,155,0.0,0.03508771929824561
breast_cancer,156,0.0,0.03508771929824561
